2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:04 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:05 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:06 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
2026-06-17 14:34:07 | ERROR    | MainThread      | [MainWindow] Loi xu ly tracking: update() got an unexpected keyword argument 'class_name'
